ID,command,encrypted_cmd
2005,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.05413818359375, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},8e1915a071df1559f9dca8112d9a23bf2a9e0feb6507345e15414f2d07cd1e80429e3cc7434920b5bda23aad95
2005,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.05413818359375, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},8e1915a071df1559f9dca8112d9a23bf2a9e0feb6507345e15414f2d07cd1e80429e3cc7434920b5bda23aad95
2009,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.05413818359375, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},8e1915a071df1559f9dca8112d9a23bf2a9e0feb6507345e15414f2d07cd1e80429e3cc7434920b5bda23aad95
2013,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e8ea68362ff8835063850de3b7766c0d424fffac033714e48ae032405d9fa3a623120d113a36a88664372e707b
2013,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e8ea68362ff8835063850de3b7766c0d424fffac033714e48ae032405d9fa3a623120d113a36a88664372e707b
2017,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e8ea68362ff8835063850de3b7766c0d424fffac033714e48ae032405d9fa3a623120d113a36a88664372e707b
2022,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e8ea68362ff8835063850de3b7766c0d424fffac033714e48ae032405d9fa3a623120d113a36a88664372e707b
2026,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e8ea68362ff8835063850de3b7766c0d424fffac033714e48ae032405d9fa3a623120d113a36a88664372e707b
2030,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e8ea68362ff8835063850de3b7766c0d424fffac033714e48ae032405d9fa3a623120d113a36a88664372e707b
2034,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e8ea68362ff8835063850de3b7766c0d424fffac033714e48ae032405d9fa3a623120d113a36a88664372e707b
2038,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e8ea68362ff8835063850de3b7766c0d424fffac033714e48ae032405d9fa3a623120d113a36a88664372e707b
2042,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e8ea68362ff8835063850de3b7766c0d424fffac033714e48ae032405d9fa3a623120d113a36a88664372e707b
2046,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e8ea68362ff8835063850de3b7766c0d424fffac033714e48ae032405d9fa3a623120d113a36a88664372e707b
2050,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e8ea68362ff8835063850de3b7766c0d424fffac033714e48ae032405d9fa3a623120d113a36a88664372e707b
2055,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e8ea68362ff8835063850de3b7766c0d424fffac033714e48ae032405d9fa3a623120d113a36a88664372e707b
2059,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e8ea68362ff8835063850de3b7766c0d424fffac033714e48ae032405d9fa3a623120d113a36a88664372e707b
2063,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': 0.999969482421875}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},a391d6a231c24f6ed129335484530f651e2175b6f192c5909b65310a0f000eb7213f14f149455a2166d368778a
2063,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': 0.999969482421875}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},a391d6a231c24f6ed129335484530f651e2175b6f192c5909b65310a0f000eb7213f14f149455a2166d368778a
2067,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': 0.999969482421875}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},a391d6a231c24f6ed129335484530f651e2175b6f192c5909b65310a0f000eb7213f14f149455a2166d368778a
2072,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e8ea68362ff8835063850de3b7766c0d424fffac033714e48ae032405d9fa3a623120d113a36a88664372e707b
2072,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e8ea68362ff8835063850de3b7766c0d424fffac033714e48ae032405d9fa3a623120d113a36a88664372e707b
2076,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e8ea68362ff8835063850de3b7766c0d424fffac033714e48ae032405d9fa3a623120d113a36a88664372e707b
2080,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e8ea68362ff8835063850de3b7766c0d424fffac033714e48ae032405d9fa3a623120d113a36a88664372e707b
2084,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e8ea68362ff8835063850de3b7766c0d424fffac033714e48ae032405d9fa3a623120d113a36a88664372e707b
2089,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e8ea68362ff8835063850de3b7766c0d424fffac033714e48ae032405d9fa3a623120d113a36a88664372e707b
2093,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e8ea68362ff8835063850de3b7766c0d424fffac033714e48ae032405d9fa3a623120d113a36a88664372e707b
2097,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e8ea68362ff8835063850de3b7766c0d424fffac033714e48ae032405d9fa3a623120d113a36a88664372e707b
2101,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e8ea68362ff8835063850de3b7766c0d424fffac033714e48ae032405d9fa3a623120d113a36a88664372e707b
2105,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e8ea68362ff8835063850de3b7766c0d424fffac033714e48ae032405d9fa3a623120d113a36a88664372e707b
2110,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e8ea68362ff8835063850de3b7766c0d424fffac033714e48ae032405d9fa3a623120d113a36a88664372e707b
2114,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e8ea68362ff8835063850de3b7766c0d424fffac033714e48ae032405d9fa3a623120d113a36a88664372e707b
2118,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e8ea68362ff8835063850de3b7766c0d424fffac033714e48ae032405d9fa3a623120d113a36a88664372e707b
2122,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e8ea68362ff8835063850de3b7766c0d424fffac033714e48ae032405d9fa3a623120d113a36a88664372e707b
2126,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e8ea68362ff8835063850de3b7766c0d424fffac033714e48ae032405d9fa3a623120d113a36a88664372e707b
2131,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e8ea68362ff8835063850de3b7766c0d424fffac033714e48ae032405d9fa3a623120d113a36a88664372e707b
2135,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e8ea68362ff8835063850de3b7766c0d424fffac033714e48ae032405d9fa3a623120d113a36a88664372e707b
2140,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e8ea68362ff8835063850de3b7766c0d424fffac033714e48ae032405d9fa3a623120d113a36a88664372e707b
2144,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e8ea68362ff8835063850de3b7766c0d424fffac033714e48ae032405d9fa3a623120d113a36a88664372e707b
2148,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e8ea68362ff8835063850de3b7766c0d424fffac033714e48ae032405d9fa3a623120d113a36a88664372e707b
2152,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e8ea68362ff8835063850de3b7766c0d424fffac033714e48ae032405d9fa3a623120d113a36a88664372e707b
2156,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e8ea68362ff8835063850de3b7766c0d424fffac033714e48ae032405d9fa3a623120d113a36a88664372e707b
2160,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e8ea68362ff8835063850de3b7766c0d424fffac033714e48ae032405d9fa3a623120d113a36a88664372e707b
2165,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e8ea68362ff8835063850de3b7766c0d424fffac033714e48ae032405d9fa3a623120d113a36a88664372e707b
2169,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e8ea68362ff8835063850de3b7766c0d424fffac033714e48ae032405d9fa3a623120d113a36a88664372e707b
2173,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e8ea68362ff8835063850de3b7766c0d424fffac033714e48ae032405d9fa3a623120d113a36a88664372e707b
2177,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e8ea68362ff8835063850de3b7766c0d424fffac033714e48ae032405d9fa3a623120d113a36a88664372e707b
2182,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e8ea68362ff8835063850de3b7766c0d424fffac033714e48ae032405d9fa3a623120d113a36a88664372e707b
2185,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e8ea68362ff8835063850de3b7766c0d424fffac033714e48ae032405d9fa3a623120d113a36a88664372e707b
2190,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e8ea68362ff8835063850de3b7766c0d424fffac033714e48ae032405d9fa3a623120d113a36a88664372e707b
2194,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e8ea68362ff8835063850de3b7766c0d424fffac033714e48ae032405d9fa3a623120d113a36a88664372e707b
2198,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e8ea68362ff8835063850de3b7766c0d424fffac033714e48ae032405d9fa3a623120d113a36a88664372e707b
2202,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e8ea68362ff8835063850de3b7766c0d424fffac033714e48ae032405d9fa3a623120d113a36a88664372e707b
2206,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e8ea68362ff8835063850de3b7766c0d424fffac033714e48ae032405d9fa3a623120d113a36a88664372e707b
2210,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e8ea68362ff8835063850de3b7766c0d424fffac033714e48ae032405d9fa3a623120d113a36a88664372e707b
2215,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e8ea68362ff8835063850de3b7766c0d424fffac033714e48ae032405d9fa3a623120d113a36a88664372e707b
2218,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': 0.999969482421875, '3': 0.032012939453125, '4': 0.051483154296875, '5': 0.999969482421875}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},6411a1c3fa9e0556bbec07f8c1186f7ba481c6b54d4beec10dfb2e496c736bbee3fccc0561d1d7ce7e14f4f6e6
2218,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': 0.999969482421875, '3': 0.032012939453125, '4': 0.051483154296875, '5': 0.999969482421875}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},6411a1c3fa9e0556bbec07f8c1186f7ba481c6b54d4beec10dfb2e496c736bbee3fccc0561d1d7ce7e14f4f6e6
2223,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e8ea68362ff8835063850de3b7766c0d424fffac033714e48ae032405d9fa3a623120d113a36a88664372e707b
2223,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e8ea68362ff8835063850de3b7766c0d424fffac033714e48ae032405d9fa3a623120d113a36a88664372e707b
2227,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': 0.999969482421875, '3': 0.032012939453125, '4': 0.051483154296875, '5': 0.999969482421875}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},6411a1c3fa9e0556bbec07f8c1186f7ba481c6b54d4beec10dfb2e496c736bbee3fccc0561d1d7ce7e14f4f6e6
2227,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': 0.999969482421875, '3': 0.032012939453125, '4': 0.051483154296875, '5': 0.999969482421875}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},6411a1c3fa9e0556bbec07f8c1186f7ba481c6b54d4beec10dfb2e496c736bbee3fccc0561d1d7ce7e14f4f6e6
2231,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -0.50146484375, '3': 0.032012939453125, '4': 0.051483154296875, '5': 0.999969482421875}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4f848c6a323aa570003b2625b9443e60e0cde1c1e6d62a5af09ff58585b4ceaf03f6caf8524b5d7d45eb27829c
2231,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -0.50146484375, '3': 0.032012939453125, '4': 0.051483154296875, '5': 0.999969482421875}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},4f848c6a323aa570003b2625b9443e60e0cde1c1e6d62a5af09ff58585b4ceaf03f6caf8524b5d7d45eb27829c
2235,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e8ea68362ff8835063850de3b7766c0d424fffac033714e48ae032405d9fa3a623120d113a36a88664372e707b
2235,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e8ea68362ff8835063850de3b7766c0d424fffac033714e48ae032405d9fa3a623120d113a36a88664372e707b
2239,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e8ea68362ff8835063850de3b7766c0d424fffac033714e48ae032405d9fa3a623120d113a36a88664372e707b
2244,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e8ea68362ff8835063850de3b7766c0d424fffac033714e48ae032405d9fa3a623120d113a36a88664372e707b
2248,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e8ea68362ff8835063850de3b7766c0d424fffac033714e48ae032405d9fa3a623120d113a36a88664372e707b
2252,{'axes': {'0': 0.098358154296875, '1': 0.04803466796875, '2': -1.0, '3': 0.032012939453125, '4': 0.051483154296875, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e8ea68362ff8835063850de3b7766c0d424fffac033714e48ae032405d9fa3a623120d113a36a88664372e707b
