ID,command,encrypted_cmd
55,{'axes': {'0': 0.0177001953125, '1': 0.04644775390625, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 1, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},cb26c133c75b8395c7020da2366501d681094b0eed0eba970d4648c978da6277330e711f716ddf5def5338717e
55,{'axes': {'0': 0.0177001953125, '1': 0.04644775390625, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 1, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},cb26c133c75b8395c7020da2366501d681094b0eed0eba970d4648c978da6277330e711f716ddf5def5338717e
59,{'axes': {'0': 0.0177001953125, '1': 0.04644775390625, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3088c48d49b45de791650898f30c87336601d7c5a5e93f2544e73baecc6fd1c2aa68dcd879a6804cf524c5a3a2
59,{'axes': {'0': 0.0177001953125, '1': 0.04644775390625, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3088c48d49b45de791650898f30c87336601d7c5a5e93f2544e73baecc6fd1c2aa68dcd879a6804cf524c5a3a2
63,{'axes': {'0': 0.0177001953125, '1': 0.04644775390625, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3088c48d49b45de791650898f30c87336601d7c5a5e93f2544e73baecc6fd1c2aa68dcd879a6804cf524c5a3a2
67,{'axes': {'0': 0.0177001953125, '1': 0.04644775390625, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3088c48d49b45de791650898f30c87336601d7c5a5e93f2544e73baecc6fd1c2aa68dcd879a6804cf524c5a3a2
71,{'axes': {'0': 0.0177001953125, '1': 0.04644775390625, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3088c48d49b45de791650898f30c87336601d7c5a5e93f2544e73baecc6fd1c2aa68dcd879a6804cf524c5a3a2
75,{'axes': {'0': 0.0177001953125, '1': 0.04644775390625, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3088c48d49b45de791650898f30c87336601d7c5a5e93f2544e73baecc6fd1c2aa68dcd879a6804cf524c5a3a2
79,{'axes': {'0': 0.0177001953125, '1': 0.04644775390625, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3088c48d49b45de791650898f30c87336601d7c5a5e93f2544e73baecc6fd1c2aa68dcd879a6804cf524c5a3a2
84,{'axes': {'0': 0.0177001953125, '1': 0.04644775390625, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3088c48d49b45de791650898f30c87336601d7c5a5e93f2544e73baecc6fd1c2aa68dcd879a6804cf524c5a3a2
88,{'axes': {'0': 0.0177001953125, '1': 0.04644775390625, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3088c48d49b45de791650898f30c87336601d7c5a5e93f2544e73baecc6fd1c2aa68dcd879a6804cf524c5a3a2
91,{'axes': {'0': 0.0177001953125, '1': 0.04644775390625, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3088c48d49b45de791650898f30c87336601d7c5a5e93f2544e73baecc6fd1c2aa68dcd879a6804cf524c5a3a2
95,{'axes': {'0': 0.0177001953125, '1': 0.04644775390625, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3088c48d49b45de791650898f30c87336601d7c5a5e93f2544e73baecc6fd1c2aa68dcd879a6804cf524c5a3a2
99,{'axes': {'0': 0.0177001953125, '1': 0.04644775390625, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3088c48d49b45de791650898f30c87336601d7c5a5e93f2544e73baecc6fd1c2aa68dcd879a6804cf524c5a3a2
103,{'axes': {'0': 0.0177001953125, '1': 0.04644775390625, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3088c48d49b45de791650898f30c87336601d7c5a5e93f2544e73baecc6fd1c2aa68dcd879a6804cf524c5a3a2
107,{'axes': {'0': 0.0177001953125, '1': 0.04644775390625, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3088c48d49b45de791650898f30c87336601d7c5a5e93f2544e73baecc6fd1c2aa68dcd879a6804cf524c5a3a2
111,{'axes': {'0': 0.0177001953125, '1': 0.04644775390625, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3088c48d49b45de791650898f30c87336601d7c5a5e93f2544e73baecc6fd1c2aa68dcd879a6804cf524c5a3a2
115,{'axes': {'0': 0.0177001953125, '1': 0.04644775390625, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3088c48d49b45de791650898f30c87336601d7c5a5e93f2544e73baecc6fd1c2aa68dcd879a6804cf524c5a3a2
119,{'axes': {'0': 0.0177001953125, '1': 0.04644775390625, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3088c48d49b45de791650898f30c87336601d7c5a5e93f2544e73baecc6fd1c2aa68dcd879a6804cf524c5a3a2
123,{'axes': {'0': 0.0177001953125, '1': 0.04644775390625, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3088c48d49b45de791650898f30c87336601d7c5a5e93f2544e73baecc6fd1c2aa68dcd879a6804cf524c5a3a2
127,{'axes': {'0': 0.0177001953125, '1': 0.04644775390625, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3088c48d49b45de791650898f30c87336601d7c5a5e93f2544e73baecc6fd1c2aa68dcd879a6804cf524c5a3a2
132,{'axes': {'0': 0.04736328125, '1': 0.04644775390625, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},7d2b208f9400ba0545864439dec26f7e5978281d265d34830f434dcf86834902cfe404f994b1303540a391703c
132,{'axes': {'0': 0.04736328125, '1': 0.04644775390625, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},7d2b208f9400ba0545864439dec26f7e5978281d265d34830f434dcf86834902cfe404f994b1303540a391703c
136,{'axes': {'0': 0.04736328125, '1': 0.04644775390625, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},7d2b208f9400ba0545864439dec26f7e5978281d265d34830f434dcf86834902cfe404f994b1303540a391703c
140,{'axes': {'0': 0.04736328125, '1': 0.04644775390625, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},7d2b208f9400ba0545864439dec26f7e5978281d265d34830f434dcf86834902cfe404f994b1303540a391703c
144,{'axes': {'0': 0.999969482421875, '1': 0.05987548828125, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},9da5b80383214d04d1d9aa30d782299d803a2eca452ba375d889f641c96571d785f7b604b39861ba2da98b9c51
144,{'axes': {'0': 0.999969482421875, '1': 0.05987548828125, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},9da5b80383214d04d1d9aa30d782299d803a2eca452ba375d889f641c96571d785f7b604b39861ba2da98b9c51
148,{'axes': {'0': 0.67315673828125, '1': 0.076202392578125, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},f8963f1b63e389190736b5ba5dad9aa314f87d290d43ca0eb32130db2da8b3cf73619f3cbd67fbe7b4ff215f3a
148,{'axes': {'0': 0.67315673828125, '1': 0.076202392578125, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},f8963f1b63e389190736b5ba5dad9aa314f87d290d43ca0eb32130db2da8b3cf73619f3cbd67fbe7b4ff215f3a
152,{'axes': {'0': 0.1068115234375, '1': 0.038787841796875, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},9ca3a7c4470554ca3cd5c3381d27ac0fe26aa7688247345bc362519ff63a2996d1329a873198a9879f4674ef30
152,{'axes': {'0': 0.1068115234375, '1': 0.038787841796875, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},9ca3a7c4470554ca3cd5c3381d27ac0fe26aa7688247345bc362519ff63a2996d1329a873198a9879f4674ef30
157,{'axes': {'0': 0.10400390625, '1': 0.036041259765625, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},c4a44e1526fe985b739dab81a80db5cc8fba68768df3d084a3fd1be131b46de74a2a50b5d9b13e775f21d01eab
157,{'axes': {'0': 0.10400390625, '1': 0.036041259765625, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},c4a44e1526fe985b739dab81a80db5cc8fba68768df3d084a3fd1be131b46de74a2a50b5d9b13e775f21d01eab
160,{'axes': {'0': 0.10400390625, '1': 0.036041259765625, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},c4a44e1526fe985b739dab81a80db5cc8fba68768df3d084a3fd1be131b46de74a2a50b5d9b13e775f21d01eab
165,{'axes': {'0': 0.853363037109375, '1': 0.036041259765625, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3828c988c0e1542fe0e40a8faf70b783093e4492eec4a6129acace706252ab5cfa15d17657e9fc8ef7623216bd
165,{'axes': {'0': 0.853363037109375, '1': 0.036041259765625, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3828c988c0e1542fe0e40a8faf70b783093e4492eec4a6129acace706252ab5cfa15d17657e9fc8ef7623216bd
169,{'axes': {'0': 0.966094970703125, '1': 0.057861328125, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},1ceb33c8f2aa2d4609aff6a249db237b16321603c23b8ec3a80e7e77fc9e5631b9f1bb3aff5a435741cacaa208
169,{'axes': {'0': 0.966094970703125, '1': 0.057861328125, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},1ceb33c8f2aa2d4609aff6a249db237b16321603c23b8ec3a80e7e77fc9e5631b9f1bb3aff5a435741cacaa208
173,{'axes': {'0': 0.11224365234375, '1': 0.0413818359375, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},c6cdeebb1ca41a2495c5f63e65116980cee14ad6c5bc1977e2486c38a60c164e9b3533230b6a40dc4ce9aa97dd
173,{'axes': {'0': 0.11224365234375, '1': 0.0413818359375, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},c6cdeebb1ca41a2495c5f63e65116980cee14ad6c5bc1977e2486c38a60c164e9b3533230b6a40dc4ce9aa97dd
177,{'axes': {'0': 0.106292724609375, '1': 0.0413818359375, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},b60acf823b22e833bc39114816b967779f7446cf4dc61992371d3c6c577174005fd9b97f5de68f2ebf843ee734
177,{'axes': {'0': 0.106292724609375, '1': 0.0413818359375, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},b60acf823b22e833bc39114816b967779f7446cf4dc61992371d3c6c577174005fd9b97f5de68f2ebf843ee734
181,{'axes': {'0': 0.106292724609375, '1': 0.0413818359375, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},b60acf823b22e833bc39114816b967779f7446cf4dc61992371d3c6c577174005fd9b97f5de68f2ebf843ee734
185,{'axes': {'0': 0.106292724609375, '1': 0.0413818359375, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},b60acf823b22e833bc39114816b967779f7446cf4dc61992371d3c6c577174005fd9b97f5de68f2ebf843ee734
189,{'axes': {'0': 0.106292724609375, '1': 0.0413818359375, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},b60acf823b22e833bc39114816b967779f7446cf4dc61992371d3c6c577174005fd9b97f5de68f2ebf843ee734
193,{'axes': {'0': 0.116668701171875, '1': 0.0413818359375, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},97727901673ea8a476376365b012c6e41efa10cbf53084147fd5d6fb6b8762df39e0da1aefc4355c3f087783fd
193,{'axes': {'0': 0.116668701171875, '1': 0.0413818359375, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},97727901673ea8a476376365b012c6e41efa10cbf53084147fd5d6fb6b8762df39e0da1aefc4355c3f087783fd
197,{'axes': {'0': 0.999969482421875, '1': 0.137359619140625, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},bfc19114563851998d1c82a0760c2a83a2025191d1f22778d81abe7f35a4b0c7973752c6e0bc31c6f58e4523ed
197,{'axes': {'0': 0.999969482421875, '1': 0.137359619140625, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},bfc19114563851998d1c82a0760c2a83a2025191d1f22778d81abe7f35a4b0c7973752c6e0bc31c6f58e4523ed
201,{'axes': {'0': 0.116455078125, '1': 0.0621337890625, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},98ae98d8328b451874c5d78abaf483cdf40287a50254fa7164a24d46bdd9848c8976810edf3b99c33a74b3a501
201,{'axes': {'0': 0.116455078125, '1': 0.0621337890625, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},98ae98d8328b451874c5d78abaf483cdf40287a50254fa7164a24d46bdd9848c8976810edf3b99c33a74b3a501
205,{'axes': {'0': 0.103607177734375, '1': 0.051025390625, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},09bc5cced30cbdfa16cff1137b6bd26c64f679f8e9a100355ca4672df8479208f4a17139960ea6d051c5f54f2c
205,{'axes': {'0': 0.103607177734375, '1': 0.051025390625, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},09bc5cced30cbdfa16cff1137b6bd26c64f679f8e9a100355ca4672df8479208f4a17139960ea6d051c5f54f2c
210,{'axes': {'0': 0.103607177734375, '1': 0.04827880859375, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},7cb6291848b26f7a0260af4d5b501905a724eb4f8a6c5aa59cdd5fd6cb2d691de2fa1ae7f669bcb94e8ecb6ac8
210,{'axes': {'0': 0.103607177734375, '1': 0.04827880859375, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},7cb6291848b26f7a0260af4d5b501905a724eb4f8a6c5aa59cdd5fd6cb2d691de2fa1ae7f669bcb94e8ecb6ac8
214,{'axes': {'0': 0.103607177734375, '1': 0.04827880859375, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},7cb6291848b26f7a0260af4d5b501905a724eb4f8a6c5aa59cdd5fd6cb2d691de2fa1ae7f669bcb94e8ecb6ac8
